,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,eva_1984,70,148,142,False,True,True,0.375,2.1142857142857143,1.0422535211267605,0.49295774647887325
1,stefangillioz,10,24,13,False,False,False,1.0,2.4,1.8461538461538463,0.7692307692307693
2,iamandisic,262,1477,16,False,False,False,1.0,5.637404580152672,92.3125,16.375
3,merymerklc,28500,1650,133,False,False,False,1.0,0.05789473684210526,12.406015037593985,214.28571428571428
4,bewitchedbytheworld,745,413,73,False,False,False,1.0,0.5543624161073826,5.657534246575342,10.205479452054794
5,dann.ybui,133,632,9,False,False,False,0.8888888888888888,4.7518796992481205,70.22222222222223,14.777777777777779
6,h.salrajhi,21,252,26,False,False,False,0.9,12.0,9.692307692307692,0.8076923076923077
7,thegitbritt,44,68,203,False,False,False,1.0,1.5454545454545454,0.33497536945812806,0.21674876847290642
8,qelaabi,123,147,6,False,False,False,1.0,1.1951219512195121,24.5,20.5
9,laduchessedelaturbotiere,137,414,29,False,False,False,1.0,3.021897810218978,14.275862068965518,4.724137931034483
10,tonyclk,100,467,313,True,False,False,1.0,4.67,1.4920127795527156,0.3194888178913738
11,e.l.y.a.r_s,1100,1575,119,True,False,False,0.5454545454545454,1.4318181818181819,13.235294117647058,9.243697478991596
12,htkg1010,307,2158,2,False,True,True,0.5,7.029315960912052,1079.0,153.5
13,clorindasixx,466,1765,862,False,False,False,1.0,3.7875536480686693,2.0475638051044083,0.5406032482598608
14,taissgoldman,2058,128,150,True,False,False,1.0,0.062196307094266275,0.8533333333333334,13.72
15,yana_guschina,50,129,21,True,False,False,0.9230769230769231,2.58,6.142857142857143,2.380952380952381
16,lanhuongg1211,830,5,35,False,True,True,0.6923076923076923,0.006024096385542169,0.14285714285714285,23.714285714285715
17,mariio480,115,484,7,True,True,True,0.6666666666666666,4.208695652173913,69.14285714285714,16.428571428571427
18,pau_revmar,134,1964,325,True,False,False,0.9,14.656716417910447,6.0430769230769235,0.4123076923076923
19,aleugartep,628,521,45,True,False,False,1.0,0.8296178343949044,11.577777777777778,13.955555555555556
20,shwan_derby,1273,277,395,False,False,False,0.9090909090909091,0.2175962293794187,0.7012658227848101,3.222784810126582
21,dsh.msk,123,316,168,False,False,False,0.8571428571428571,2.569105691056911,1.880952380952381,0.7321428571428571
22,mrwishesgelatoitaliano,30,221,0,False,False,False,1.0,7.366666666666666,inf,inf
23,simbaa2016,1,241,0,True,True,True,0.6,241.0,inf,inf
24,_ahllamm,153,643,14,True,False,False,0.875,4.2026143790849675,45.92857142857143,10.928571428571429
25,ingridheymann,117,300,3,False,False,False,1.0,2.5641025641025643,100.0,39.0
26,sktraveladv,13,40,12,False,False,False,1.0,3.076923076923077,3.3333333333333335,1.0833333333333333
27,jacoralmarketing,187,536,2,False,False,False,1.0,2.8663101604278074,268.0,93.5
28,michelleboselli,668,651,3185,True,False,False,1.0,0.9745508982035929,0.2043956043956044,0.2097331240188383
29,travelbling,337,1803,530,False,False,False,1.0,5.350148367952523,3.40188679245283,0.6358490566037736
30,thedanielleandrews,27,394,28,False,False,False,1.0,14.592592592592593,14.071428571428571,0.9642857142857143
31,aurelialoupez,239,709,7,False,False,False,1.0,2.9665271966527196,101.28571428571429,34.142857142857146
32,nilferozi,224,2324,295,True,False,False,1.0,10.375,7.877966101694915,0.7593220338983051
33,risingstarmovers,313,1436,179,False,False,False,1.0,4.587859424920127,8.022346368715084,1.7486033519553073
34,chinese_blacc_pearl,1406,1522,76,True,False,False,0.8947368421052632,1.0825035561877667,20.026315789473685,18.5
35,patnalaramu,131,240,36,False,False,False,1.0,1.83206106870229,6.666666666666667,3.638888888888889
36,dewirahma0110,186,646,3,True,True,True,0.6923076923076923,3.4731182795698925,215.33333333333334,62.0
37,trinaembel,1318,702,184,False,False,False,1.0,0.5326251896813353,3.8152173913043477,7.163043478260869
38,naoualyaa,22,263,0,True,False,False,1.0,11.954545454545455,inf,inf
39,greddonna1,46,373,10,False,True,True,0.9,8.108695652173912,37.3,4.6
40,marina_schafrik,8215,269,288,False,False,False,0.9333333333333333,0.03274497869750456,0.9340277777777778,28.524305555555557
41,hbvduer38j,9,61,4,False,True,False,0.8,6.777777777777778,15.25,2.25
42,0.00m__,262,3716,52,False,True,False,0.14285714285714285,14.183206106870228,71.46153846153847,5.038461538461538
43,shannonlopez2015,167,377,15,False,True,True,0.75,2.2574850299401197,25.133333333333333,11.133333333333333
44,7non_alharthy,579,2902,284,True,True,False,0.8461538461538461,5.0120898100172715,10.21830985915493,2.038732394366197
45,sexygalsana,146,268,229,True,False,False,1.0,1.8356164383561644,1.1703056768558953,0.6375545851528385
46,maram_fahim,166,706,7,True,False,False,0.9090909090909091,4.253012048192771,100.85714285714286,23.714285714285715
47,kholloud_x,91,1943,0,True,False,False,0.9,21.35164835164835,inf,inf
48,omidsummer,0,4520,0,True,False,False,1.0,inf,inf,inf
49,deee_da,257,5193,377,True,False,False,0.8571428571428571,20.20622568093385,13.774535809018568,0.6816976127320955
50,a.b_reign,1985,215,2,False,False,False,0.7777777777777778,0.10831234256926953,107.5,992.5
51,laura_calarese,6764,789,112,False,False,False,0.9285714285714286,0.11664695446481373,7.044642857142857,60.392857142857146
52,nonniebg,674,4319,90,True,False,False,1.0,6.408011869436201,47.98888888888889,7.488888888888889
53,khaznahh.m,0,123,19,True,False,False,0.9,inf,6.473684210526316,0.0
54,el_tooba,333,371,41,False,False,False,0.875,1.1141141141141142,9.048780487804878,8.121951219512194
55,priscilarodru,1152,439,266,True,False,False,1.0,0.3810763888888889,1.650375939849624,4.330827067669173
56,instajam00,960,424,240,False,True,True,0.8,0.44166666666666665,1.7666666666666666,4.0
57,johndaniel_nomad,66,304,3,False,False,False,0.9375,4.606060606060606,101.33333333333333,22.0
58,leevit38,1750,4338,121,False,True,True,0.75,2.4788571428571426,35.85123966942149,14.462809917355372
59,susanhumphrey18,93,241,12,True,True,True,0.8666666666666667,2.5913978494623655,20.083333333333332,7.75
60,ryanbensonofficial,244,263,166,True,False,False,1.0,1.0778688524590163,1.5843373493975903,1.4698795180722892
61,aya_alsaleh21,33,1390,146,True,True,True,0.7692307692307693,42.121212121212125,9.520547945205479,0.22602739726027396
62,aroganto9,0,894,0,True,True,True,0.8888888888888888,inf,inf,inf
63,konstantinoskoutlas,51,661,0,True,False,False,1.0,12.96078431372549,inf,inf
64,dikrabenomar,160,1291,35,True,False,False,1.0,8.06875,36.885714285714286,4.571428571428571
65,espi___,1417,4472,608,False,False,False,0.5714285714285714,3.1559633027522938,7.355263157894737,2.330592105263158
66,fiorettaautore,387,348,64,False,False,False,1.0,0.8992248062015504,5.4375,6.046875
67,utik_290,619,170,91,False,True,True,0.5,0.27463651050080773,1.8681318681318682,6.802197802197802
68,eleonora56,298,2196,667,True,True,True,0.8,7.369127516778524,3.292353823088456,0.44677661169415295
69,majashhh,1015,232,201,False,False,False,1.0,0.22857142857142856,1.154228855721393,5.0497512437810945
70,hhentertainmentltd,100,632,7,False,False,False,1.0,6.32,90.28571428571429,14.285714285714286
71,thetraveltothenext,6,2410,0,True,False,False,1.0,401.6666666666667,inf,inf
72,tiennl.tt,859,276,34,False,False,False,0.8888888888888888,0.3213038416763679,8.117647058823529,25.264705882352942
73,simce990,304,1121,130,True,True,True,0.625,3.6875,8.623076923076923,2.3384615384615386
74,hotty_naughty18,191,1757,4,False,True,True,0.8,9.198952879581151,439.25,47.75
75,sofiatbilisi,1199,3706,1204,False,False,False,1.0,3.090909090909091,3.0780730897009967,0.9958471760797342
76,lucaromano666,4213,196,225,False,True,True,0.7692307692307693,0.046522667932589606,0.8711111111111111,18.724444444444444
77,dridi_sonia_,1351,303,60,False,False,False,0.8333333333333334,0.22427831236121393,5.05,22.516666666666666
78,mihaelanedeva,15400,1396,599,False,False,False,1.0,0.09064935064935065,2.330550918196995,25.709515859766277
79,hannahkim8454,99,781,11,True,True,True,0.6923076923076923,7.888888888888889,71.0,9.0
80,jaypimentel1,105,572,3,False,True,True,0.9166666666666666,5.447619047619048,190.66666666666666,35.0
81,aigerimchef,3145,246,370,False,False,False,1.0,0.0782193958664547,0.6648648648648648,8.5
82,the.real.subash,238,1240,4,True,False,False,0.8666666666666667,5.2100840336134455,310.0,59.5
83,thehanoonista,349,3190,3114,True,False,False,1.0,9.140401146131806,1.0244059087989723,0.11207450224791266
84,maria_batalheiro,298,207,52,True,False,False,0.9375,0.6946308724832215,3.980769230769231,5.730769230769231
85,ana_rita_amorim,284,755,139,True,False,False,0.8666666666666667,2.658450704225352,5.431654676258993,2.0431654676258995
86,maysonbol,38,991,465,True,False,False,1.0,26.07894736842105,2.131182795698925,0.08172043010752689
87,salsabilfaria,333,4146,22,True,False,False,1.0,12.45045045045045,188.45454545454547,15.136363636363637
88,abbas_aas1234,1056,2902,1545,False,True,True,0.6153846153846154,2.7481060606060606,1.8783171521035598,0.683495145631068
89,zenpremium,108,1164,18,False,False,False,1.0,10.777777777777779,64.66666666666667,6.0
90,dulcevidadiary,172,1465,64,False,False,False,1.0,8.517441860465116,22.890625,2.6875
91,domenicoliammercuri,2927,498,68,False,False,False,1.0,0.1701400751622822,7.323529411764706,43.044117647058826
92,han0nto,172,126,56,True,True,False,0.8571428571428571,0.7325581395348837,2.25,3.0714285714285716
93,arianimadeliu,31,290,4,False,False,False,1.0,9.35483870967742,72.5,7.75
94,prakash.dabhi11298,640,1290,36,False,True,True,0.6666666666666666,2.015625,35.833333333333336,17.77777777777778
95,fierzamanmohdidham,49,164,5,False,False,False,1.0,3.3469387755102042,32.8,9.8
96,jay_customcollection,144,1078,212,False,False,False,0.95,7.486111111111111,5.084905660377358,0.6792452830188679
97,____________i_e______mm,1119,324,231,False,False,False,0.17391304347826086,0.289544235924933,1.4025974025974026,4.8441558441558445
98,mud.live,1584,996,320,False,False,False,0.875,0.6287878787878788,3.1125,4.95
99,abby9024,498,604,453,True,True,True,0.5,1.21285140562249,1.3333333333333333,1.099337748344371
100,mahan.ghr.7,97,290,23,True,True,True,0.7272727272727273,2.9896907216494846,12.608695652173912,4.217391304347826
101,dazazian,1449,1619,2916,False,False,False,1.0,1.1173222912353347,0.5552126200274349,0.49691358024691357
102,namaste_indianmarket.id,1881,2110,264,False,False,False,0.9130434782608695,1.1217437533227006,7.992424242424242,7.125
103,myriadpathlabs,17,37,1,False,False,False,1.0,2.176470588235294,37.0,17.0
104,ljubicastijovic,133,44,10,True,False,False,1.0,0.3308270676691729,4.4,13.3
105,ghaint_stattus,141,1012,4,False,False,False,0.9285714285714286,7.177304964539007,253.0,35.25
106,piecesofsabrina,2289,914,348,False,False,False,1.0,0.39930100480559194,2.6264367816091956,6.577586206896552
107,abielinsky,2547,3707,101,False,False,False,1.0,1.4554377699254024,36.7029702970297,25.217821782178216
108,dee_goel_,861,669,121,True,False,False,0.7777777777777778,0.7770034843205574,5.528925619834711,7.115702479338843
109,maherafraitekh,44,373,7,True,False,False,1.0,8.477272727272727,53.285714285714285,6.285714285714286
110,frankaloyce350,436,3298,75,False,True,True,0.7857142857142857,7.564220183486238,43.973333333333336,5.8133333333333335
111,acmantinas,399,2973,53,False,False,False,1.0,7.451127819548872,56.094339622641506,7.528301886792453
112,gclifestyle.hu,0,22,0,False,False,False,0.9285714285714286,inf,inf,inf
113,tinilicioous,3175,921,36,False,False,False,1.0,0.2900787401574803,25.583333333333332,88.19444444444444
114,carlosglezzd,1350,1255,519,False,False,False,1.0,0.9296296296296296,2.418111753371869,2.601156069364162
115,tom.marcia,241,1898,94,False,False,False,0.9,7.875518672199171,20.19148936170213,2.5638297872340425
116,losadacreative,204,227,34,False,False,False,1.0,1.1127450980392157,6.676470588235294,6.0
117,wanderlustsince85,439,164,2,True,True,True,0.8823529411764706,0.3735763097949886,82.0,219.5
118,hcallstarsandimpactpgh,3725,1068,7979,False,False,False,1.0,0.28671140939597317,0.13385135981952626,0.4668504825166061
119,karlacandy32,98,577,14,False,True,True,0.8333333333333334,5.887755102040816,41.214285714285715,7.0
120,iamsanelk,13300,47,332,False,False,False,1.0,0.0035338345864661656,0.14156626506024098,40.06024096385542
121,msliudmila,3752,1297,294,False,False,False,1.0,0.345682302771855,4.41156462585034,12.761904761904763
122,said28lakbir,5,18,0,False,True,False,0.8333333333333334,3.6,inf,inf
123,yusuf_asllan,12600,43,33,True,False,False,0.9166666666666666,0.003412698412698413,1.303030303030303,381.8181818181818
124,danifilipova,2755,878,402,False,False,False,1.0,0.31869328493647914,2.18407960199005,6.853233830845771
125,pazminoedy,292,2083,26,False,False,False,1.0,7.133561643835616,80.11538461538461,11.23076923076923
126,sweetafrooz_,390,2127,61,False,False,False,0.9166666666666666,5.453846153846154,34.868852459016395,6.39344262295082
127,douglasrujana,194,1255,20,False,False,False,1.0,6.469072164948454,62.75,9.7
128,adirajurkar,213,99,12,False,False,False,1.0,0.4647887323943662,8.25,17.75
129,loic.lesage,11800,416,142,False,False,False,0.9090909090909091,0.03525423728813559,2.9295774647887325,83.09859154929578
130,flywithcltravels,391,252,53,False,False,False,1.0,0.6445012787723785,4.754716981132075,7.377358490566038
131,day_trevisan,1980,1842,471,True,False,False,0.9166666666666666,0.9303030303030303,3.910828025477707,4.203821656050955
132,iweonju730,46,406,2,False,True,True,0.7,8.826086956521738,203.0,23.0
133,the_law_office___,453,1200,60,False,False,False,0.7058823529411765,2.6490066225165565,20.0,7.55
134,ordazcelades,3,21,5,False,False,False,1.0,7.0,4.2,0.6
135,kay_lurz,1414,3039,339,False,False,False,0.875,2.149222065063649,8.964601769911505,4.171091445427729
136,thedjrushi,433,724,51,True,False,False,1.0,1.672055427251732,14.196078431372548,8.490196078431373
137,mattiuzzidenis,318,1051,13,False,False,False,1.0,3.3050314465408803,80.84615384615384,24.46153846153846
138,debrahgambera,216,438,324,False,False,False,1.0,2.0277777777777777,1.3518518518518519,0.6666666666666666
139,alexmtzgalan,5,102,5,True,False,False,1.0,20.4,20.4,1.0
140,ma_rcia5048,2,29,0,False,True,True,0.5454545454545454,14.5,inf,inf
141,sandra_fleuriste,74,101,16,False,False,False,0.9375,1.364864864864865,6.3125,4.625
142,nannasalanitro,615,162,35,True,False,False,1.0,0.2634146341463415,4.628571428571429,17.571428571428573
143,eileen.xiaomei,31,102,67,False,False,False,0.9285714285714286,3.2903225806451615,1.5223880597014925,0.4626865671641791
144,chillsurrealism,1423,3011,48,False,False,False,1.0,2.1159522136331694,62.729166666666664,29.645833333333332
145,cliffledevineyards,6066,567,287,False,False,False,1.0,0.09347181008902077,1.975609756097561,21.135888501742162
146,dryagergcc,4180,4851,50,False,False,False,1.0,1.1605263157894736,97.02,83.6
147,blairjustdid,40,159,47,True,False,False,1.0,3.975,3.382978723404255,0.851063829787234
148,bertharosa295,12,98,0,True,True,True,0.7692307692307693,8.166666666666666,inf,inf
149,s_u8,2146,573,6,False,True,True,0.5,0.26700838769804286,95.5,357.6666666666667
150,juliartofficial,1152,198,134,False,False,False,1.0,0.171875,1.4776119402985075,8.597014925373134
151,nafibstyle,404,1095,2080,False,False,False,1.0,2.7103960396039604,0.5264423076923077,0.19423076923076923
152,prbroadwater,254,461,261,True,False,False,1.0,1.81496062992126,1.7662835249042146,0.9731800766283525
153,goekcell,11900,3277,394,False,False,False,1.0,0.2753781512605042,8.317258883248732,30.20304568527919
154,akvuongy,234,392,585,False,False,False,1.0,1.6752136752136753,0.67008547008547,0.4
155,aboragab74,184,225,2,False,True,True,0.8,1.2228260869565217,112.5,92.0
156,avi.6584,152,1677,2,False,True,True,0.375,11.032894736842104,838.5,76.0
157,tommervageva,79,769,69,True,False,False,1.0,9.734177215189874,11.144927536231885,1.144927536231884
158,thyaniperdana,719,2014,33,False,False,False,1.0,2.801112656467316,61.03030303030303,21.78787878787879
159,krisstoto,215,561,80,True,False,False,1.0,2.609302325581395,7.0125,2.6875
160,trufflemandubai,62100,7220,2692,False,False,False,1.0,0.11626409017713366,2.6820208023774144,23.068350668647845
161,wherenickatnow,2184,1985,1156,False,False,False,1.0,0.9088827838827839,1.717128027681661,1.8892733564013842
162,m_eugenia_nyc,3697,1086,175,False,False,False,0.8461538461538461,0.29375169055991346,6.2057142857142855,21.125714285714285
163,benchmarkwine,7570,631,792,False,False,False,1.0,0.0833553500660502,0.7967171717171717,9.558080808080808
164,erich604,3946,860,51,False,True,True,0.625,0.21794221996958946,16.862745098039216,77.37254901960785
165,chankybanky,25,170,0,False,False,False,1.0,6.8,inf,inf
166,nathdumur,108,498,17,False,False,False,1.0,4.611111111111111,29.294117647058822,6.352941176470588
167,kyle_nguy3n,169,482,88,False,True,False,0.8181818181818182,2.8520710059171597,5.4772727272727275,1.9204545454545454
168,jkthai,9299,634,251,False,False,False,1.0,0.06817937412625014,2.5258964143426295,37.04780876494024
169,ventotechnologies,394,539,60,False,False,False,1.0,1.368020304568528,8.983333333333333,6.566666666666666
170,maoidb,2,314,0,True,False,False,1.0,157.0,inf,inf
171,pepotravels,315,2231,8,False,False,False,1.0,7.082539682539682,278.875,39.375
172,lafconsulting,77,187,41,False,False,False,1.0,2.4285714285714284,4.560975609756097,1.8780487804878048
173,vivianysanthiago,1340,1185,274,True,False,False,1.0,0.8843283582089553,4.324817518248175,4.890510948905109
174,sasha_nikolich79,133,2206,706,True,True,True,0.8125,16.586466165413533,3.1246458923512748,0.18838526912181303
175,gantinisantoso,194,372,123,True,False,False,1.0,1.9175257731958764,3.024390243902439,1.5772357723577235
176,ujjwal29,446,602,67,True,True,True,0.75,1.3497757847533631,8.985074626865671,6.656716417910448
177,popopo_posh,1,683,2,True,False,False,0.9090909090909091,683.0,341.5,0.5
