,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
0,mihir.rock.1,271,477,24,False,True,True,0.75,1.760147601476015,19.875,11.291666666666664,False
1,paradiseengineering.za,296,656,37,False,False,False,0.9545454545454546,2.216216216216216,17.72972972972973,8.0,False
2,7801_naman,34,133,0,True,True,False,0.5,3.9117647058823533,inf,inf,True
3,mv_alicia,187,162,81,True,False,False,0.8888888888888888,0.8663101604278075,2.0,2.308641975308642,False
4,_yogi_47,129,577,2,True,True,True,0.5,4.472868217054264,288.5,64.5,True
5,aidan.ryan9,962,1263,36,True,True,True,0.8181818181818182,1.312889812889813,35.083333333333336,26.722222222222218,False
6,dfdipskri,3,100,2,True,False,False,1.0,33.333333333333336,50.0,1.5,True
7,calamity_alchemist,52,69,4,False,False,False,0.9444444444444444,1.3269230769230769,17.25,13.0,False
8,vitopastorini,637,1045,274,False,False,False,1.0,1.640502354788069,3.8138686131386863,2.3248175182481754,False
9,j_0_3_y,304,303,5,True,True,False,0.2857142857142857,0.9967105263157896,60.6,60.8,False
10,wes.meekhof,384,541,11,False,False,False,0.9090909090909092,1.4088541666666667,49.18181818181818,34.90909090909091,False
11,zapata.facundo,269,705,12,True,False,False,0.9285714285714286,2.620817843866171,58.75,22.41666666666667,False
12,jhtaimil,345,1824,143,False,False,False,1.0,5.28695652173913,12.755244755244755,2.4125874125874125,False
13,rakeshroyvision,1797,185,68,False,False,False,1.0,0.10294936004451864,2.7205882352941178,26.426470588235286,False
14,blackchild1000,917,209,19,False,True,True,0.7142857142857143,0.22791712104689205,11.0,48.26315789473684,False
15,ben_moto72,288,473,136,False,True,True,0.7,1.6423611111111112,3.4779411764705883,2.117647058823529,False
16,n.i.l.0.y,94,293,2,True,True,False,0.4444444444444444,3.1170212765957452,146.5,47.0,True
17,gs_wommy_trilogy_2020,46,178,51,True,True,True,0.6666666666666666,3.8695652173913038,3.4901960784313726,0.9019607843137256,False
18,pcassoma,492,801,106,False,False,False,1.0,1.6280487804878048,7.556603773584905,4.6415094339622645,False
19,bori_of_doom,87,227,1,False,False,False,0.8333333333333334,2.6091954022988504,227.0,87.0,True
20,bailey_monty.47,477,676,44,False,True,True,0.7333333333333333,1.4171907756813418,15.363636363636365,10.840909090909092,False
21,jposmacedo,87,309,21,False,False,False,1.0,3.5517241379310347,14.714285714285715,4.142857142857143,False
22,markesears,802,1167,67,True,False,False,1.0,1.4551122194513717,17.417910447761194,11.970149253731346,False
23,killerkingvishnu,316,310,16,True,False,False,1.0,0.981012658227848,19.375,19.75,False
24,bread_skate,148,766,398,True,False,False,0.9090909090909092,5.1756756756756745,1.9246231155778892,0.3718592964824121,False
25,titlopez,14,7,3,False,False,False,1.0,0.5,2.333333333333333,4.666666666666667,False
26,tousifo,309,190,93,False,False,False,1.0,0.6148867313915858,2.043010752688172,3.3225806451612905,False
27,da_he_guy,219,795,176,False,False,False,0.7777777777777778,3.6301369863013697,4.517045454545454,1.244318181818182,False
28,make_it_israel,89,141,21,False,False,False,0.8571428571428571,1.5842696629213484,6.7142857142857135,4.238095238095238,False
29,kimberpeach,2171,1440,673,True,False,False,1.0,0.6632888070013818,2.139673105497771,3.225854383358098,False
30,tankerja73,39,73,803,True,True,True,0.8,1.871794871794872,0.09090909090909093,0.04856787048567871,False
31,zhvikh,211,281,15,True,False,False,1.0,1.3317535545023698,18.733333333333334,14.066666666666665,False
32,lukas_lemfik,351,802,46,False,False,False,0.9166666666666666,2.2849002849002855,17.434782608695652,7.630434782608695,False
33,universeunseen,168,85,47,False,False,False,1.0,0.5059523809523809,1.8085106382978724,3.5744680851063837,False
34,patrick___delfin___knight,832,4184,10,False,False,False,0.76,5.028846153846153,418.4,83.2,True
35,shyammishra23,89,31,151,True,True,True,0.8461538461538461,0.34831460674157305,0.2052980132450331,0.5894039735099338,False
36,satya.jpg,2509,304,95,True,False,False,0.8888888888888888,0.12116381028298127,3.2,26.410526315789475,False
37,ineedaracecar,565,3996,104,False,False,False,1.0,7.072566371681416,38.42307692307692,5.432692307692308,False
38,rizzlemethis86,313,867,908,False,True,True,0.8571428571428571,2.769968051118211,0.9548458149779736,0.3447136563876652,False
39,alex._.brooks,79,188,2,False,False,False,0.7692307692307693,2.3797468354430378,94.0,39.5,False
40,5incerely_liz,276,2988,78,True,True,False,0.8461538461538461,10.826086956521738,38.307692307692314,3.5384615384615383,False
41,alistairsiegel,0,160,0,True,False,False,1.0,inf,inf,inf,True
42,liatressi_,1081,347,225,False,False,False,0.9,0.3209990749306198,1.5422222222222222,4.804444444444443,False
43,ritwik_kundu,321,139,62,True,False,False,0.9166666666666666,0.43302180685358255,2.2419354838709675,5.17741935483871,False
44,mardejour,113,125,35,True,False,False,1.0,1.106194690265487,3.571428571428572,3.2285714285714286,False
45,naughty_hobbits,360,1510,1676,False,False,False,0.9333333333333332,4.194444444444445,0.9009546539379476,0.21479713603818612,False
46,myster_e071,695,549,145,False,True,True,0.6363636363636364,0.7899280575539568,3.7862068965517235,4.793103448275862,False
47,miguel_zamora_02,234,386,1,True,True,True,0.75,1.6495726495726497,386.0,234.0,True
48,zagade4,58,39,15,False,True,True,0.8571428571428571,0.6724137931034483,2.6,3.8666666666666663,True
49,franco.seneca,4523,595,332,True,False,False,0.9230769230769232,0.13154985629007296,1.7921686746987953,13.623493975903616,False
50,feky_vevo,9183,243,6,False,False,False,0.8888888888888888,0.02646194054230644,40.5,1530.5,False
51,mskat.jlo,67400,34,2723,False,False,False,0.8888888888888888,0.0005044510385756677,0.012486228424531766,24.752111641571798,False
52,p4.ga,0,45,3,True,True,False,0.6,inf,15.0,0.0,False
53,i_rrasha,73800,311,463,False,False,False,0.875,0.004214092140921409,0.67170626349892,159.39524838012957,False
54,photography_color_of_the_day,139,482,51,False,False,False,0.8571428571428571,3.467625899280576,9.450980392156863,2.7254901960784315,False
55,6qdn,19500,122,10,False,True,False,0.75,0.006256410256410256,12.2,1950.0,False
56,r0_5.y,6086,3358,5,False,True,False,0.3333333333333333,0.5517581334209661,671.6,1217.2,False
57,1n.v3,20,104,4,False,True,True,0.4,5.2,26.0,5.0,False
58,s.a9432,0,14,0,False,True,True,0.2857142857142857,inf,inf,inf,False
59,mahmoud_2_0_0_1,378,2193,23,True,True,True,0.4666666666666667,5.8015873015873005,95.34782608695652,16.434782608695652,True
60,saifalnatour,542,623,22,False,False,False,1.0,1.1494464944649447,28.318181818181817,24.63636363636364,False
61,00pp00ppm,2,24,1,False,True,False,0.5555555555555556,12.0,24.0,2.0,True
62,sayf.ch,746,609,18,False,False,False,0.8571428571428571,0.8163538873994638,33.833333333333336,41.444444444444436,False
63,eslamezzat.7,8126,65,79,False,True,True,0.8333333333333334,0.007999015505783904,0.8227848101265823,102.86075949367088,False
64,ftoom.ww,21,339,0,False,False,False,0.875,16.142857142857142,inf,inf,True
65,tala.a_126,41,304,0,False,True,True,0.5,7.414634146341463,inf,inf,True
66,rh.m5,49,86,0,True,True,True,0.6,1.7551020408163265,inf,inf,True
67,frrsseggybh,12,43,2,False,False,False,1.0,3.583333333333333,21.5,6.0,False
68,nm._.ga,21200,916,17,False,False,False,0.5714285714285714,0.043207547169811324,53.88235294117647,1247.0588235294115,False
69,ta_d9090,15,81,0,False,True,True,0.375,5.4,inf,inf,True
70,mnoo.lh,1040,570,24,False,False,False,0.8571428571428571,0.5480769230769231,23.75,43.33333333333334,False
71,beshonon,1,13,0,False,False,False,1.0,13.0,inf,inf,False
72,mario.moris.73,292,288,3,False,True,True,0.7142857142857143,0.9863013698630136,96.0,97.33333333333331,False
