,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,ryarovoy,103,26,3,False,False,False,1.0,0.2524271844660194,8.666666666666666,34.333333333333336
1,sonya_mezenseva207_,82,28,190,False,True,False,0.7368421052631579,0.34146341463414637,0.14736842105263157,0.43157894736842106
2,derwieczynska,696,115,7,False,False,False,1.0,0.16522988505747127,16.428571428571427,99.42857142857143
3,yuvraj_singh1155,14,8,1,False,True,True,0.6875,0.5714285714285714,8.0,14.0
4,yusrotilainia0709,244,98,13,False,True,True,0.7647058823529411,0.4016393442622951,7.538461538461538,18.76923076923077
5,_d.a.s.h._a,139,23,7,False,False,False,0.45454545454545453,0.16546762589928057,3.2857142857142856,19.857142857142858
6,ravikiran4178,453,12,17,False,True,True,0.6923076923076923,0.026490066225165563,0.7058823529411765,26.647058823529413
7,nnayyyy16,149,51,4,False,True,True,0.7777777777777778,0.3422818791946309,12.75,37.25
8,saifou_kebraoui,3729,598,4,False,False,False,0.9333333333333333,0.1603647090372754,149.5,932.25
9,filippovv1,211,260,16,False,True,True,0.9,1.2322274881516588,16.25,13.1875
10,evanscottmcallister,2,67,0,False,False,False,1.0,33.5,inf,inf
11,xhell_chux,8,81,2,False,False,False,0.9,10.125,40.5,4.0
12,daniel_datika,207,130,1,True,False,False,0.9230769230769231,0.6280193236714976,130.0,207.0
13,rosine_zhg,368,696,4,True,False,False,0.9,1.891304347826087,174.0,92.0
14,hannah_leigh_lifts,29100,620,330,False,False,False,0.8888888888888888,0.021305841924398626,1.878787878787879,88.18181818181819
15,oof.itzali,333,401,11,False,False,False,0.9,1.2042042042042043,36.45454545454545,30.272727272727273
16,fresh.wawi,1975,296,0,False,False,False,0.9,0.149873417721519,inf,inf
17,vidyavenkat18,128,260,1,True,True,True,0.8461538461538461,2.03125,260.0,128.0
18,ciciluna3,15,13,0,False,True,True,0.8888888888888888,0.8666666666666667,inf,inf
19,arifinsr_1902,723,163,5,False,True,True,0.6153846153846154,0.22544951590594745,32.6,144.6
20,_nurhalizahrsdi,524,188,5,False,False,False,0.9333333333333333,0.35877862595419846,37.6,104.8
21,riffatraymound,225,120,6,False,False,False,1.0,0.5333333333333333,20.0,37.5
22,inshape_ha,206,204,22,False,False,False,0.9,0.9902912621359223,9.272727272727273,9.363636363636363
23,phototravel.am,13300,2819,1413,False,False,False,0.9285714285714286,0.21195488721804512,1.995046001415428,9.412597310686483
24,zoebottina,496,293,36,False,False,False,1.0,0.5907258064516129,8.13888888888889,13.777777777777779
25,romeooo1999,1978,135,0,True,True,True,0.6363636363636364,0.06825075834175935,inf,inf
26,prestonwucong,15800,477,112,False,False,False,1.0,0.03018987341772152,4.258928571428571,141.07142857142858
27,huzurun_sesi_doga,148,242,4,False,False,False,0.8823529411764706,1.635135135135135,60.5,37.0
28,skivvy782828,3,204,1,False,True,True,0.5,68.0,204.0,3.0
29,derry_ville,1399,138,2,False,False,False,0.9090909090909091,0.09864188706218728,69.0,699.5
30,alvin_farel_tambunan,2213,212,17,False,False,False,0.9,0.09579755987347492,12.470588235294118,130.1764705882353
31,cristofermangeli,276,127,11,False,False,False,1.0,0.4601449275362319,11.545454545454545,25.09090909090909
32,noraa.latina,8,17,2,False,False,False,0.9166666666666666,2.125,8.5,4.0
33,_chechenec.095_,63,4,0,False,True,False,0.6,0.06349206349206349,inf,inf
34,hory_.99h,235,527,1,False,True,False,0.5555555555555556,2.2425531914893617,527.0,235.0
35,efecemarketing,791,319,45,False,False,False,1.0,0.40328697850821743,7.088888888888889,17.57777777777778
36,biniwale,50,51,0,False,False,False,1.0,1.02,inf,inf
37,araasyah_,1,7,0,False,False,False,0.8888888888888888,7.0,inf,inf
38,_chloesworldxx,5,78,1,False,False,False,0.9285714285714286,15.6,78.0,5.0
39,hotgirls.funnystories,3840,7,113,False,False,False,0.9523809523809523,0.0018229166666666667,0.061946902654867256,33.982300884955755
40,satisfied__life,1253,24,17,False,False,False,0.8666666666666667,0.019154030327214685,1.411764705882353,73.70588235294117
41,romallan,1,4,0,True,False,False,1.0,4.0,inf,inf
42,padmashri110,65,209,0,False,True,True,0.75,3.2153846153846155,inf,inf
43,dhruvtanwaroo19,642,164,62,False,True,True,0.8666666666666667,0.2554517133956386,2.6451612903225805,10.35483870967742
44,kenleyfreimund,814,568,4,True,False,False,1.0,0.6977886977886978,142.0,203.5
45,justywojcik,2,35,1,False,False,False,1.0,17.5,35.0,2.0
46,ola_2705_madej,22,51,0,False,True,False,0.5714285714285714,2.3181818181818183,inf,inf
47,billysteele30,181,197,6,True,True,True,0.8461538461538461,1.0883977900552486,32.833333333333336,30.166666666666668
48,naa.11_,613,49,0,True,True,False,0.42857142857142855,0.0799347471451876,inf,inf
