,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,aboodalzwahra4,2149,69,16,False,True,True,0.9285714285714286,0.03210795718939041,4.3125,134.3125
1,medhat_tharwat_,6206,694,16,False,False,False,0.8666666666666667,0.1118272639381244,43.375,387.875
2,akib_8670,581,220,14,False,True,True,0.4444444444444444,0.37865748709122204,15.714285714285714,41.5
3,mr.achu96,266,551,75,False,True,True,0.6666666666666666,2.0714285714285716,7.346666666666667,3.546666666666667
4,13_krt,2218,95,0,False,True,False,0.5,0.04283137962128043,inf,inf
5,kelebek_mela,1798,595,16,False,False,False,0.9166666666666666,0.3309232480533927,37.1875,112.375
6,photography_color_of_the_day,139,482,51,False,False,False,0.8571428571428571,3.4676258992805757,9.450980392156863,2.7254901960784315
7,refaah_alwafi,18400,108,60,False,False,False,0.9230769230769231,0.005869565217391304,1.8,306.6666666666667
8,6qdn,19500,122,10,False,True,False,0.75,0.006256410256410256,12.2,1950.0
9,llm67jkj,369,88,2,True,True,False,0.75,0.23848238482384823,44.0,184.5
10,gffog,5857,375,12,False,False,False,1.0,0.0640259518524842,31.25,488.0833333333333
11,ameeenali78,10,184,0,False,True,True,0.8181818181818182,18.4,inf,inf
12,ss6ud,3833,74,36,False,True,False,0.8,0.019306026611009653,2.0555555555555554,106.47222222222223
13,r0_5.y,6086,3358,5,False,True,False,0.3333333333333333,0.5517581334209661,671.6,1217.2
14,mohameedatiaa213,674,108,14,False,True,True,0.8125,0.16023738872403562,7.714285714285714,48.142857142857146
15,sayf.ch,746,609,18,False,False,False,0.8571428571428571,0.8163538873994638,33.833333333333336,41.44444444444444
16,eslamezzat.7,8126,65,79,False,True,True,0.8333333333333334,0.007999015505783904,0.8227848101265823,102.86075949367088
17,saifalnatour,542,623,22,False,False,False,1.0,1.1494464944649447,28.318181818181817,24.636363636363637
18,myhobbies_r,133,45,33,False,False,False,0.9090909090909091,0.3383458646616541,1.3636363636363635,4.03030303030303
19,hashmigood,4693,222,1066,True,False,False,1.0,0.04730449605795866,0.20825515947467166,4.402439024390244
20,rh.m5,49,86,0,True,True,True,0.6,1.7551020408163265,inf,inf
21,1rk.f,475,871,5,False,True,False,0.6,1.8336842105263158,174.2,95.0
22,mario.moris.73,292,288,3,False,True,True,0.7142857142857143,0.9863013698630136,96.0,97.33333333333333
23,mnoo.lh,1040,570,24,False,False,False,0.8571428571428571,0.5480769230769231,23.75,43.333333333333336
24,9ic.2,5054,525,125,False,True,True,0.4,0.1038781163434903,4.2,40.432
25,abelrhmanouf,318,257,13,False,False,False,1.0,0.8081761006289309,19.76923076923077,24.46153846153846
26,salh7199,797,513,26,False,True,True,0.5,0.64366373902133,19.73076923076923,30.653846153846153
27,mouna_khaled98,101,248,14,True,True,True,0.7857142857142857,2.4554455445544554,17.714285714285715,7.214285714285714
28,haya_aldimasi,168,733,426,True,False,False,0.9230769230769231,4.363095238095238,1.7206572769953052,0.39436619718309857
29,iolcoi,19,108,3,False,False,False,1.0,5.684210526315789,36.0,6.333333333333333
30,oux19gt,41,47,4,False,True,False,0.7142857142857143,1.146341463414634,11.75,10.25
31,___.nnoorraa.___,13200,1370,536,False,False,False,0.5,0.10378787878787879,2.5559701492537314,24.62686567164179
32,pravinsingh17,664,165,11,False,True,True,0.8461538461538461,0.24849397590361447,15.0,60.36363636363637
33,leonheinz87,103,200,12,False,True,True,0.8181818181818182,1.941747572815534,16.666666666666668,8.583333333333334
34,3.an2_,224,304,1,False,True,False,0.3333333333333333,1.3571428571428572,304.0,224.0
35,m.albrag,4101,109,4,False,False,False,0.875,0.0265788831992197,27.25,1025.25
36,rvo_o,982,305,5,False,False,False,0.8,0.3105906313645621,61.0,196.4
37,farahwaleedd_,1951,406,12,False,False,False,0.9230769230769231,0.20809841107124552,33.833333333333336,162.58333333333334
38,malokaa_4m,10,530,3,True,True,False,0.8,53.0,176.66666666666666,3.3333333333333335
39,gufvuiip1188,356,117,119,False,True,True,0.6666666666666666,0.32865168539325845,0.9831932773109243,2.991596638655462
40,iimoh18,9452,205,7,False,True,True,0.7142857142857143,0.021688531527719,29.285714285714285,1350.2857142857142
41,ii_fortnitev,157,121,3,False,False,False,0.9166666666666666,0.7707006369426752,40.333333333333336,52.333333333333336
42,azoz_alrja,137,394,95,False,False,False,0.9,2.875912408759124,4.147368421052631,1.4421052631578948
43,f.qr_,974,370,10,False,False,False,0.6,0.3798767967145791,37.0,97.4
44,aynshtania.dos,10100,227,123,False,False,False,0.9285714285714286,0.022475247524752474,1.8455284552845528,82.11382113821138
45,mnourah512,16,129,0,False,True,True,0.7,8.0625,inf,inf
46,cousingerman3841473,15,904,1,False,True,True,0.631578947368421,60.266666666666666,904.0,15.0
47,abdo__a_z,179,156,5,False,False,False,0.6666666666666666,0.8715083798882681,31.2,35.8
48,d2i2i,51,237,15,True,True,False,0.6,4.647058823529412,15.8,3.4
49,mdabjjf655,1021,265,77,False,True,True,0.7,0.2595494613124388,3.4415584415584415,13.25974025974026
