,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,slmoon1,584,323,75,False,True,True,0.8571428571428571,0.553082191780822,4.306666666666667,7.786666666666667
1,choote_aapa_1432,244,661,3,False,True,True,0.625,2.709016393442623,220.33333333333334,81.33333333333333
2,vishnnu_prasad,851,3221,50,True,False,False,0.9285714285714286,3.7849588719153937,64.42,17.02
3,noor_adnan_saad,9974,7496,2,False,False,False,0.8666666666666667,0.7515540405053138,3748.0,4987.0
4,s2014rrrrr,85,158,1,False,True,False,0.6,1.8588235294117648,158.0,85.0
5,4z.we,80,163,0,False,True,False,0.6,2.0375,inf,inf
6,amal.sull,228,38,13,True,False,False,0.8888888888888888,0.16666666666666666,2.923076923076923,17.53846153846154
7,sw3ss,1101,451,13,False,True,False,0.8,0.40962761126248864,34.69230769230769,84.6923076923077
8,hecl_23,419,672,6,False,True,True,0.5714285714285714,1.60381861575179,112.0,69.83333333333333
9,angelica_damiao,7598,1358,160,False,False,False,0.9333333333333333,0.17873124506449065,8.4875,47.4875
10,ahad_0k,60,1,0,False,True,False,0.7142857142857143,0.016666666666666666,inf,inf
11,lemkhalti_walid,254,163,42,False,False,False,0.9333333333333333,0.6417322834645669,3.880952380952381,6.0476190476190474
12,1rk.f,443,880,5,False,True,False,0.6,1.9864559819413092,176.0,88.6
13,s.qtr15,955,501,0,False,True,True,0.5714285714285714,0.5246073298429319,inf,inf
14,ibrahimazmi2001,1955,273,61,False,True,True,0.7333333333333333,0.13964194373401534,4.475409836065574,32.049180327868854
15,25572786iiii,3198,4720,48,False,True,False,0.3333333333333333,1.4759224515322076,98.33333333333333,66.625
16,anuj_bhatore,112,120,3,True,False,False,0.9166666666666666,1.0714285714285714,40.0,37.333333333333336
17,_mohammed6865,2074,1554,0,False,True,True,0.6153846153846154,0.7492767598842816,inf,inf
18,f__0o0__,2186,588,34,False,True,False,0.25,0.2689844464775846,17.294117647058822,64.29411764705883
19,jovox.0307,463,80,5,True,True,True,0.5,0.17278617710583152,16.0,92.6
20,nikoletakoliaba,92,102,13,False,False,False,1.0,1.108695652173913,7.846153846153846,7.076923076923077
21,camellia9.9,623,121,0,False,True,True,0.7272727272727273,0.1942215088282504,inf,inf
22,r_shrnaxi,1077,6761,38,False,False,False,0.8888888888888888,6.277623026926648,177.92105263157896,28.342105263157894
23,hasantas_1905_34,63,49,4,False,True,True,0.5,0.7777777777777778,12.25,15.75
24,vedat.parlar,885,698,280,True,False,False,0.9166666666666666,0.7887005649717514,2.492857142857143,3.1607142857142856
25,qsrfm,655,318,3,False,False,False,1.0,0.4854961832061069,106.0,218.33333333333334
26,donyamuhammadzai,15,229,65,True,False,False,1.0,15.266666666666667,3.523076923076923,0.23076923076923078
27,strom74,2511,408,83,False,True,True,0.7142857142857143,0.16248506571087215,4.9156626506024095,30.253012048192772
28,echtiwiabdeljalil,141,718,7,False,False,False,1.0,5.092198581560283,102.57142857142857,20.142857142857142
29,mirzaabdullayev_official_,1212,317,27,False,False,False,0.92,0.2615511551155115,11.74074074074074,44.888888888888886
30,mahipal.rathore.9,154,228,2,False,True,True,0.8235294117647058,1.4805194805194806,114.0,77.0
31,rifa_ulhuda,933,340,10,False,False,False,0.9090909090909091,0.36441586280814575,34.0,93.3
32,ni__lo__ver_,200,888,21,False,False,False,0.5833333333333334,4.44,42.285714285714285,9.523809523809524
33,teva_28,6485,60,54,False,True,True,0.5714285714285714,0.009252120277563608,1.1111111111111112,120.0925925925926
34,said9559559,126,96,0,True,True,True,0.36363636363636365,0.7619047619047619,inf,inf
35,brijeshtilker,918,568,71,True,False,False,1.0,0.6187363834422658,8.0,12.929577464788732
36,_r_uu_h_ii_,242,384,29,True,False,False,0.5454545454545454,1.5867768595041323,13.241379310344827,8.344827586206897
37,fme.o,2478,3784,4,False,False,False,0.8,1.5270379338175948,946.0,619.5
38,merim268,959,1973,6,False,True,True,0.625,2.057351407716371,328.8333333333333,159.83333333333334
39,anastasia_inthegardenoflife,434,6089,135,False,False,False,0.9629629629629629,14.02995391705069,45.1037037037037,3.214814814814815
40,maruecos_video,17800,146,54,False,False,False,0.9285714285714286,0.008202247191011236,2.7037037037037037,329.6296296296296
41,ibookholiday,2090,61,468,False,False,False,1.0,0.029186602870813396,0.13034188034188035,4.465811965811966
42,u.n.outdoors,151,52,15,False,False,False,0.8333333333333334,0.3443708609271523,3.466666666666667,10.066666666666666
43,faisal_9079,475,102,5,False,True,True,0.5454545454545454,0.21473684210526317,20.4,95.0
44,rosha._.m,131,302,6,True,False,False,0.6666666666666666,2.3053435114503817,50.333333333333336,21.833333333333332
