,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,januarythe14th,330,201,11,True,True,False,0.8571428571428571,0.6090909090909091,18.272727272727273,30.0
1,cross_aiye_malaysia,315,1200,90,False,False,False,0.8947368421052632,3.8095238095238093,13.333333333333334,3.5
2,humansarepassionateanimals,2268,563,212,False,False,False,1.0,0.2482363315696649,2.6556603773584904,10.69811320754717
3,1c_el_mejor_del_padre_genon,125,674,5,False,True,False,0.7777777777777778,5.392,134.8,25.0
4,mausam_insta,286,1052,50,True,False,False,0.9166666666666666,3.6783216783216783,21.04,5.72
5,josey.woods,20,131,3,False,False,False,0.9090909090909091,6.55,43.666666666666664,6.666666666666667
6,paolo_conrad_bercah,306,471,318,False,False,False,0.8947368421052632,1.5392156862745099,1.4811320754716981,0.9622641509433962
7,zlmessenger,2748,731,159,False,False,False,1.0,0.26601164483260553,4.59748427672956,17.28301886792453
8,salman_og,411,841,136,True,False,False,0.8888888888888888,2.046228710462287,6.1838235294117645,3.0220588235294117
9,slcric18,1209,7499,463,True,True,True,0.75,6.202646815550041,16.19654427645788,2.611231101511879
10,renatovsa,530,414,221,True,False,False,1.0,0.7811320754716982,1.8733031674208145,2.3981900452488687
11,tuesdays_dinosaur,50,42,33,False,False,False,0.9411764705882353,0.84,1.2727272727272727,1.5151515151515151
12,gregoryrobins,59,12,7,False,False,False,1.0,0.2033898305084746,1.7142857142857142,8.428571428571429
13,michaelhennesseyactor,732,2679,486,False,False,False,1.0,3.6598360655737703,5.512345679012346,1.5061728395061729
14,abhishek6174kumar,125,224,80,False,True,False,0.7647058823529411,1.792,2.8,1.5625
15,miguelito12248,140,523,41,True,True,True,0.6428571428571429,3.7357142857142858,12.75609756097561,3.4146341463414633
16,whodoesyourbraidsandfades,684,1959,2067,False,False,False,1.0,2.8640350877192984,0.9477503628447025,0.3309143686502177
17,life_with_jimi,385,885,201,False,False,False,0.8571428571428571,2.2987012987012987,4.402985074626866,1.9154228855721394
18,hardfurtick,79,76,2,False,False,False,1.0,0.9620253164556962,38.0,39.5
19,anastasiiagrigoreva292,103,1660,11,False,True,True,0.8636363636363636,16.116504854368934,150.9090909090909,9.363636363636363
20,customss34,108,7467,20,False,True,True,0.8,69.13888888888889,373.35,5.4
21,eleanorewylie,186,6752,10,False,False,False,1.0,36.30107526881721,675.2,18.6
22,racaedaccaiaha8956,407,7438,170,False,True,True,0.7777777777777778,18.275184275184277,43.752941176470586,2.3941176470588235
23,lynellelerma,109,6985,12,False,False,False,1.0,64.08256880733946,582.0833333333334,9.083333333333334
24,blondemuc,361,745,204,True,False,False,1.0,2.063711911357341,3.6519607843137254,1.7696078431372548
25,azalia_vazquez,391,1750,128,False,False,False,0.9285714285714286,4.475703324808184,13.671875,3.0546875
26,dschicity,1182,366,502,False,False,False,1.0,0.3096446700507614,0.7290836653386454,2.354581673306773
27,spacewalker313,976,31,3,False,True,True,0.7857142857142857,0.031762295081967214,10.333333333333334,325.3333333333333
28,ks_gixxerfan_svenkast,1851,695,20,False,False,False,0.9047619047619048,0.375472717450027,34.75,92.55
29,viktora13.99,1111,120,5,False,True,True,0.5833333333333334,0.10801080108010801,24.0,222.2
30,leobritishshorthair,151,319,115,False,False,False,1.0,2.1125827814569536,2.773913043478261,1.3130434782608695
31,davidthe101,1164,419,542,False,True,True,0.7272727272727273,0.3599656357388316,0.7730627306273062,2.1476014760147604
32,anna_xenia15,1379,5618,17,False,True,True,0.75,4.073966642494561,330.47058823529414,81.11764705882354
33,adam.9461,0,4,0,False,True,True,0.4444444444444444,inf,inf,inf
34,naigate19,131,30,34,False,True,True,0.7777777777777778,0.22900763358778625,0.8823529411764706,3.8529411764705883
35,ry_penniman,1233,2444,49,False,False,False,0.9090909090909091,1.9821573398215735,49.87755102040816,25.163265306122447
36,charlotte__x.x,271,439,120,True,False,False,0.7857142857142857,1.6199261992619927,3.658333333333333,2.2583333333333333
37,maxcantelon4,440,807,10,False,True,True,0.9166666666666666,1.834090909090909,80.7,44.0
38,quinonez.chris,172,520,1,True,False,False,0.9285714285714286,3.0232558139534884,520.0,172.0
39,pzaengle11,88,163,29,True,True,True,0.8,1.8522727272727273,5.620689655172414,3.0344827586206895
40,90s_movies90,23,169,0,True,True,True,0.5833333333333334,7.3478260869565215,inf,inf
41,cvtvl1nv._,710,1200,8,False,True,False,0.7,1.6901408450704225,150.0,88.75
42,money_boy_831_,1990,65,4,True,True,False,0.5714285714285714,0.032663316582914576,16.25,497.5
43,j_dot_miguel,41,168,21,False,False,False,0.8333333333333334,4.097560975609756,8.0,1.9523809523809523
44,aileyclark,487,362,217,False,False,False,1.0,0.7433264887063655,1.6682027649769586,2.2442396313364057
45,arunjith99,57,272,16,False,True,True,0.8,4.771929824561403,17.0,3.5625
46,arianatorg03,951,843,149,False,True,True,0.8333333333333334,0.886435331230284,5.657718120805369,6.382550335570469
47,chellyluoise,0,102,0,True,False,False,1.0,inf,inf,inf
48,double_g_golden_boy,1362,6153,242,False,False,False,0.8421052631578947,4.5176211453744495,25.425619834710744,5.628099173553719
49,danny_lifestil,701,6173,47,False,False,False,0.9285714285714286,8.80599144079886,131.3404255319149,14.914893617021276
50,anytime_water,25,27,10,False,False,False,0.9230769230769231,1.08,2.7,2.5
51,lethal_logic187,180,187,152,False,True,True,0.7333333333333333,1.038888888888889,1.230263157894737,1.1842105263157894
52,sudusina,448,332,6,True,False,False,1.0,0.7410714285714286,55.333333333333336,74.66666666666667
