,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,zaralls,8,18,0,False,False,False,1.0,2.25,inf,inf
1,charapucchi,98,172,19,True,False,False,1.0,1.7551020408163265,9.052631578947368,5.157894736842105
2,gaby.rouillaud,150,587,2,False,False,False,0.9285714285714286,3.9133333333333336,293.5,75.0
3,baticheyahia,284,1286,3,False,False,False,1.0,4.528169014084507,428.6666666666667,94.66666666666667
4,keithc.andersen,52,119,1,False,False,False,0.9333333333333333,2.2884615384615383,119.0,52.0
5,l_atelier_de_jerem,9,17,11,False,False,False,0.8333333333333334,1.8888888888888888,1.5454545454545454,0.8181818181818182
6,rxt8425,14,4,0,False,True,True,0.42857142857142855,0.2857142857142857,inf,inf
7,harrymosbeux,7,38,0,False,False,False,1.0,5.428571428571429,inf,inf
8,marceaumouton,7,28,0,True,False,False,1.0,4.0,inf,inf
9,hugo_castro_1,86,96,178,False,True,True,0.7692307692307693,1.1162790697674418,0.5393258426966292,0.48314606741573035
10,this0u,9,63,2,True,True,False,0.8333333333333334,7.0,31.5,4.5
11,leo.lapel.7,16,79,4,False,True,True,0.7272727272727273,4.9375,19.75,4.0
12,allan_tout_court,62,55,4,True,False,False,0.875,0.8870967741935484,13.75,15.5
13,fabrizziogrande,89,103,2,False,False,False,1.0,1.1573033707865168,51.5,44.5
14,allzerk,47,115,20,False,False,False,1.0,2.4468085106382977,5.75,2.35
15,juste_alex23,25,209,0,False,True,True,0.75,8.36,inf,inf
16,kevinponthieu,694,1649,14,False,False,False,1.0,2.376080691642651,117.78571428571429,49.57142857142857
17,capucine_mineau,15,23,0,True,False,False,0.9333333333333333,1.5333333333333334,inf,inf
18,3jedgcm,34,34,9,False,True,False,0.8571428571428571,1.0,3.7777777777777777,3.7777777777777777
19,jezabel031,1,23,1,False,True,True,0.7,23.0,23.0,1.0
20,tony.brunel,4,15,0,True,False,False,0.9090909090909091,3.75,inf,inf
21,team.ast,120,387,0,False,False,False,0.875,3.225,inf,inf
22,lira.wong,14,50,2,False,False,False,0.8888888888888888,3.5714285714285716,25.0,7.0
23,nathanassouline_,196,1180,0,False,False,False,0.9375,6.020408163265306,inf,inf
24,lopezswann,12,3,0,False,False,False,1.0,0.25,inf,inf
25,pirodragi,28,38,0,False,False,False,1.0,1.3571428571428572,inf,inf
26,julien.briquet.169,18,51,2,False,True,True,0.7222222222222222,2.8333333333333335,25.5,9.0
27,liuchan59,7,139,34,True,True,True,0.7777777777777778,19.857142857142858,4.088235294117647,0.20588235294117646
28,antjo.rpd,0,34,0,True,False,False,0.8888888888888888,inf,inf,inf
29,ninnin.38,3,6,0,True,True,True,0.6666666666666666,2.0,inf,inf
30,rakainu,1022,502,20,False,False,False,1.0,0.4911937377690802,25.1,51.1
31,delcapio40_,124,150,1,False,True,False,0.7272727272727273,1.2096774193548387,150.0,124.0
32,florian_ltrn_,98,234,0,False,False,False,0.8461538461538461,2.3877551020408165,inf,inf
33,neko_des_enfers,66,84,9,True,False,False,0.8666666666666667,1.2727272727272727,9.333333333333334,7.333333333333333
34,ash06ash,68,145,35,False,True,False,0.75,2.1323529411764706,4.142857142857143,1.9428571428571428
35,wihawk7,27,34,0,False,True,True,0.8571428571428571,1.2592592592592593,inf,inf
36,sauterjordan,46,73,4,True,False,False,1.0,1.5869565217391304,18.25,11.5
37,leclercbrice76,56,107,9,False,True,True,0.8571428571428571,1.9107142857142858,11.88888888888889,6.222222222222222
38,fabcribier,35,215,74,True,False,False,1.0,6.142857142857143,2.9054054054054053,0.47297297297297297
39,skoowz_5,65,606,1,False,True,True,0.75,9.323076923076924,606.0,65.0
40,ahcas_cyan,48,20,2,True,False,False,0.9,0.4166666666666667,10.0,24.0
41,lucas.olivier302,17,46,0,True,True,True,0.75,2.7058823529411766,inf,inf
42,atlaouimaamer,607,2875,36,True,False,False,1.0,4.736408566721582,79.86111111111111,16.86111111111111
43,cw_jack_of_spades,100,153,10,False,False,False,0.8235294117647058,1.53,15.3,10.0
44,witabinks,179,406,31,False,False,False,1.0,2.2681564245810057,13.096774193548388,5.774193548387097
45,doshin_editions,129,210,14,False,False,False,0.9333333333333333,1.627906976744186,15.0,9.214285714285714
46,__you_one__,84,225,24,True,False,False,0.5454545454545454,2.6785714285714284,9.375,3.5
47,alex_boiz,151,289,6,True,False,False,0.8888888888888888,1.913907284768212,48.166666666666664,25.166666666666668
48,raven_bloood,99,164,9,True,False,False,0.9166666666666666,1.6565656565656566,18.22222222222222,11.0
49,pierrese_aetyr,4,17,3,False,False,False,0.9285714285714286,4.25,5.666666666666667,1.3333333333333333
