,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,jm1898.50,200,2214,217,True,True,True,0.2222222222222222,11.07,10.202764976958525,0.9216589861751152
1,_free_to_be_the_greatest_,73,511,3,True,False,False,0.76,7.0,170.33333333333334,24.333333333333332
2,chriscanale,109,193,27,True,False,False,1.0,1.7706422018348624,7.148148148148148,4.037037037037037
3,n_67kq,0,127,0,True,True,False,0.5,inf,inf,inf
4,klavertje_chams,114,804,6,False,False,False,0.9333333333333333,7.052631578947368,134.0,19.0
5,hananebmm,9915,805,120,False,False,False,1.0,0.08119011598587998,6.708333333333333,82.625
6,rafresh1010,241,1163,59,True,True,True,0.6363636363636364,4.825726141078838,19.71186440677966,4.084745762711864
7,nohailabamoussa,516,562,70,True,False,False,1.0,1.0891472868217054,8.028571428571428,7.371428571428571
8,michaeloliver499,67,283,1,False,True,True,0.8125,4.223880597014926,283.0,67.0
9,mame_mor_moustapha_saliou,423,1859,25,False,False,False,0.88,4.3947990543735225,74.36,16.92
10,beyondeverycountry,29700,525,532,False,False,False,1.0,0.017676767676767676,0.9868421052631579,55.82706766917293
11,nayera_refat_,137,2038,78,True,False,False,0.8461538461538461,14.875912408759124,26.128205128205128,1.7564102564102564
12,olayaarayssii,255,604,154,False,False,False,1.0,2.368627450980392,3.9220779220779223,1.655844155844156
13,hezber,420,1912,101,True,False,False,1.0,4.552380952380952,18.93069306930693,4.158415841584159
14,hodann_1,202,390,8,True,True,True,0.75,1.9306930693069306,48.75,25.25
15,pamperedpalsuk,23,255,8,False,False,False,1.0,11.08695652173913,31.875,2.875
16,bernalbailey,51,924,0,False,False,False,1.0,18.11764705882353,inf,inf
17,_m_r_86,5903,929,102,False,True,True,0.2857142857142857,0.15737760460782652,9.107843137254902,57.872549019607845
18,itsmenaxx,178,4393,251,True,False,False,1.0,24.679775280898877,17.50199203187251,0.7091633466135459
19,joinvoyage,24,122,0,False,False,False,1.0,5.083333333333333,inf,inf
20,myself_do._.la,154,55,9,False,False,False,0.7142857142857143,0.35714285714285715,6.111111111111111,17.11111111111111
21,a_s80z,2251,7071,42,False,True,False,0.5,3.1412705464238115,168.35714285714286,53.595238095238095
22,yochi2004,4,215,0,False,True,True,0.5555555555555556,53.75,inf,inf
23,aminaa_96,307,619,100,True,True,True,0.6666666666666666,2.01628664495114,6.19,3.07
24,otestroy,18,201,1,False,False,False,1.0,11.166666666666666,201.0,18.0
25,hotelyasminkarawaci,11,18,16,False,False,False,1.0,1.6363636363636365,1.125,0.6875
26,homesandgrounds,3841,3763,9,False,False,False,1.0,0.9796927883363707,418.1111111111111,426.77777777777777
27,springangel318,229,819,25,False,True,True,0.7857142857142857,3.576419213973799,32.76,9.16
28,getbusyliving._,32,42,22,False,False,False,0.8666666666666667,1.3125,1.9090909090909092,1.4545454545454546
29,iamnishant_ns,411,4318,135,True,False,False,0.9230769230769231,10.506082725060827,31.985185185185184,3.0444444444444443
30,tatyflawlessrodrigues,341,67,108,False,False,False,1.0,0.19648093841642228,0.6203703703703703,3.1574074074074074
