,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,alhammadii_s,3,92,0,False,False,False,0.9166666666666666,30.666666666666668,inf,inf
1,omprakashbairwao577,2,6,0,False,True,True,0.8421052631578947,3.0,inf,inf
2,ytgachaaexo,0,21,0,False,False,False,1.0,inf,inf,inf
3,3.an2_,225,304,1,False,True,False,0.3333333333333333,1.3511111111111112,304.0,225.0
4,sachindramolsom,4,71,1,False,False,False,1.0,17.75,71.0,4.0
5,m.albrag,4101,109,4,False,False,False,0.875,0.0265788831992197,27.25,1025.25
6,mr_itean01,103,1572,1,True,True,True,0.7,15.262135922330097,1572.0,103.0
7,rvo_o,982,305,5,False,False,False,0.8,0.3105906313645621,61.0,196.4
8,himat.singh.1297943,0,6,0,False,True,True,0.5263157894736842,inf,inf,inf
9,omid.riyahi1995,593,2423,5,False,True,True,0.6666666666666666,4.086003372681281,484.6,118.6
10,alaa.t.s,422,1296,19,True,False,False,0.75,3.071090047393365,68.21052631578948,22.210526315789473
11,gufvuiip1188,356,117,119,False,True,True,0.6666666666666666,0.32865168539325845,0.9831932773109243,2.991596638655462
12,ballyhoo549783,23,910,1,False,True,True,0.5714285714285714,39.56521739130435,910.0,23.0
13,danahbaj,392,348,64,False,False,False,1.0,0.8877551020408163,5.4375,6.125
14,7xrsi_,127,337,3,True,True,False,0.6666666666666666,2.6535433070866143,112.33333333333333,42.333333333333336
15,jangceolgi6360,163,2281,10,False,True,True,0.7142857142857143,13.993865030674847,228.1,16.3
16,fazansari32,43,277,0,True,True,True,0.8181818181818182,6.441860465116279,inf,inf
17,kayrashai,2,10,0,False,False,False,1.0,5.0,inf,inf
